"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 11:36:27 GMT 2023","Mon May 22 11:36:27 GMT 2023","356","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 11:36:27 GMT 2023","Mon May 22 11:36:29 GMT 2023","1631","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 11:36:26 GMT 2023","Mon May 22 11:36:27 GMT 2023","430","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 11:36:29 GMT 2023","Mon May 22 11:36:33 GMT 2023","4278","","Standalone login","","","","should redirect to the home page",""
