"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 11:00:24 GMT 2023","Wed May 24 11:00:27 GMT 2023","3039","","Standalone login","","","","enter OTP and proceed",""
"passed","Wed May 24 11:00:27 GMT 2023","Wed May 24 11:00:28 GMT 2023","966","","Standalone login","","","","should connect the wallet",""
"passed","Wed May 24 11:00:24 GMT 2023","Wed May 24 11:00:24 GMT 2023","298","","Standalone login","","","","enter email and proceed",""
"passed","Wed May 24 11:00:23 GMT 2023","Wed May 24 11:00:24 GMT 2023","334","","Standalone login","","","","start new wallet creation",""
