"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 03:48:04 GMT 2023","Thu May 25 03:48:05 GMT 2023","1039","","Standalone login","","","","should connect the wallet",""
"passed","Thu May 25 03:47:58 GMT 2023","Thu May 25 03:47:59 GMT 2023","290","","Standalone login","","","","enter email and proceed",""
"passed","Thu May 25 03:47:58 GMT 2023","Thu May 25 03:47:58 GMT 2023","353","","Standalone login","","","","start new wallet creation",""
"passed","Thu May 25 03:47:59 GMT 2023","Thu May 25 03:48:04 GMT 2023","5232","","Standalone login","","","","enter OTP and proceed",""
