"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 07:51:00 GMT 2023","Mon May 22 07:51:00 GMT 2023","371","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 07:51:01 GMT 2023","Mon May 22 07:51:02 GMT 2023","1511","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 07:51:00 GMT 2023","Mon May 22 07:51:01 GMT 2023","259","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 07:51:02 GMT 2023","Mon May 22 07:51:05 GMT 2023","3211","","Standalone login","","","","should redirect to the home page",""
