"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 13:26:35 GMT 2023","Mon May 22 13:26:35 GMT 2023","328","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 13:26:35 GMT 2023","Mon May 22 13:26:36 GMT 2023","270","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 13:26:36 GMT 2023","Mon May 22 13:26:37 GMT 2023","922","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 13:26:37 GMT 2023","Mon May 22 13:26:38 GMT 2023","1613","","Standalone login","","","","should redirect to the home page",""
