"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 12:41:27 GMT 2023","Mon May 22 12:41:28 GMT 2023","1175","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 12:41:27 GMT 2023","Mon May 22 12:41:27 GMT 2023","336","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 12:41:27 GMT 2023","Mon May 22 12:41:27 GMT 2023","394","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 12:41:28 GMT 2023","Mon May 22 12:41:33 GMT 2023","4343","","Standalone login","","","","should redirect to the home page",""
