"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 05:32:04 GMT 2023","Fri May 26 05:32:05 GMT 2023","465","","Standalone login","","","","start new wallet creation",""
"passed","Fri May 26 05:32:05 GMT 2023","Fri May 26 05:32:05 GMT 2023","416","","Standalone login","","","","enter email and proceed",""
"passed","Fri May 26 05:32:05 GMT 2023","Fri May 26 05:32:16 GMT 2023","10806","","Standalone login","","","","enter OTP and proceed",""
"passed","Fri May 26 05:32:16 GMT 2023","Fri May 26 05:32:17 GMT 2023","1066","","Standalone login","","","","should connect the wallet",""
