"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 09:04:53 GMT 2023","Wed May 24 09:04:58 GMT 2023","5090","","Standalone login","","","","enter OTP and proceed",""
"passed","Wed May 24 09:04:52 GMT 2023","Wed May 24 09:04:53 GMT 2023","417","","Standalone login","","","","start new wallet creation",""
"passed","Wed May 24 09:04:58 GMT 2023","Wed May 24 09:04:59 GMT 2023","954","","Standalone login","","","","should connect the wallet",""
"passed","Wed May 24 09:04:53 GMT 2023","Wed May 24 09:04:53 GMT 2023","374","","Standalone login","","","","enter email and proceed",""
