"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 12:58:22 GMT 2023","Mon May 22 12:58:23 GMT 2023","323","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 12:58:23 GMT 2023","Mon May 22 12:58:25 GMT 2023","2540","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 12:58:22 GMT 2023","Mon May 22 12:58:22 GMT 2023","398","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 12:58:25 GMT 2023","Mon May 22 12:58:30 GMT 2023","4275","","Standalone login","","","","should redirect to the home page",""
