"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 22 11:52:26 GMT 2023","Mon May 22 11:52:57 GMT 2023","30658","","Standalone login","","","","should redirect to the home page",""
"passed","Mon May 22 11:52:23 GMT 2023","Mon May 22 11:52:23 GMT 2023","489","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 11:52:23 GMT 2023","Mon May 22 11:52:23 GMT 2023","484","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 11:52:23 GMT 2023","Mon May 22 11:52:26 GMT 2023","2462","","Standalone login","","","","enter OTP and proceed",""
