"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 05:56:08 GMT 2023","Mon May 22 05:56:09 GMT 2023","1167","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 05:56:09 GMT 2023","Mon May 22 05:56:13 GMT 2023","3745","","Standalone login","","","","should redirect to the home page",""
"passed","Mon May 22 05:56:07 GMT 2023","Mon May 22 05:56:08 GMT 2023","371","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 05:56:07 GMT 2023","Mon May 22 05:56:07 GMT 2023","382","","Standalone login","","","","start new wallet creation",""
