"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 11:43:16 GMT 2023","Mon May 22 11:43:17 GMT 2023","279","","Standalone login","","","","enter email and proceed",""
"passed","Mon May 22 11:43:16 GMT 2023","Mon May 22 11:43:16 GMT 2023","325","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 11:43:17 GMT 2023","Mon May 22 11:43:19 GMT 2023","1943","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 11:43:19 GMT 2023","Mon May 22 11:43:27 GMT 2023","8115","","Standalone login","","","","should redirect to the home page",""
