"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 13:05:47 GMT 2023","Mon May 22 13:05:48 GMT 2023","1158","","Standalone login","","","","enter OTP and proceed",""
"passed","Mon May 22 13:05:46 GMT 2023","Mon May 22 13:05:47 GMT 2023","412","","Standalone login","","","","start new wallet creation",""
"passed","Mon May 22 13:05:48 GMT 2023","Mon May 22 13:05:50 GMT 2023","2285","","Standalone login","","","","should redirect to the home page",""
"passed","Mon May 22 13:05:47 GMT 2023","Mon May 22 13:05:47 GMT 2023","347","","Standalone login","","","","enter email and proceed",""
